понедельник;08.30 - 10.05;;;;
;;;;;
;10.15 - 11.50;Иностранный язык (пр) 319 гл Симушкина Н.Ю.;Архитектура ЭВМ (лаб) 201 л Осипов В.И.;;
;;Архитектура ЭВМ (лаб) 201 л Осипов В.И.;;;
;12.30 - 14.05;Иностранный язык (пр) 319 гл Симушкина Н.Ю.;Архитектура ЭВМ (лаб) 201 л Осипов В.И.;;
;;Архитектура ЭВМ (лаб) 201 л Осипов В.И.;;;
;14.15 - 15.50;;Web-технологии и стандарты (лаб) 204 л Воронова Е.С.;;
;;;;;
;16.00 - 17.35;;;;
;;;;;
;17.45 - 19.20;;;;
;;;;;
;;;;;
вторник;08.00 - 09.30;Элективные дисциплины по физической культуре и спорту (пр) Пахомова С.В., Скрипалев Г.Д.;;;
;;;;;
;10.15 - 11.50;Архитектура ЭВМ (лек) 122 л Осипов В.И.;;;
;;;;;
;12.30 - 14.05;Инфокоммуникационные системы и сети (лек) 122 л Моторин С.В.;;;
;;;;;
;14.15 - 15.50;;;;
;;;;;
;16.00 - 17.35;;;;
;;;;;
;17.45 - 19.20;;;;
;;;;;
;;;;;
среда;08.30 - 10.05;Управление данными (лаб) 204 л Зуева А.А.;;;
;;;;;
;10.15 - 11.50;Управление данными (лаб) 204 л Зуева А.А.;;;
;;;;;
;12.30 - 14.05;;Иностранный язык (пр) 409 гл Симушкина Н.Ю.;;
;;;Прикладные математические методы (лаб) 204 л Жилин А.А.;;
;14.15 - 15.50;;Иностранный язык (пр) 409 гл Симушкина Н.Ю.;;
;;;Прикладные математические методы (лаб) 204 л Жилин А.А.;;
;16.00 - 17.35;;;;
;;;;;
;17.45 - 19.20;;;;
;;;;;
;;;;;
четверг;08.30 - 10.05;Инфокоммуникационные системы и сети (лаб) 202 л Рыковский Н.А.;Управление данными (лаб) 204 л Зуева А.А.;;
;;;;;
;10.15 - 11.50;Инфокоммуникационные системы и сети (лаб) 202 л Рыковский Н.А.;Управление данными (лаб) 204 л Зуева А.А.;;
;;Web-технологии и стандарты (лаб) 204 л Воронова Е.С.;Инфокоммуникационные системы и сети (лаб) 202 л Рыковский Н.А.;;
;12.30 - 14.05;;Инфокоммуникационные системы и сети (лаб) 202 л Рыковский Н.А.;;
;;Web-технологии и стандарты (лаб) 204 л Воронова Е.С.;;;
;14.15 - 15.50;;;;
;;;;;
;16.00 - 17.35;;;;
;;;;;
;17.45 - 19.20;;;;
;;;;;
;;;;;
пятница;08.30 - 10.05;Прикладные математические методы (пр) 122 л Жилин А.А.;;;
;;;;;
;10.15 - 11.45;Элективные дисциплины по физической культуре и спорту (пр) Пахомова С.В., Скрипалев Г.Д.;;;
;;;;;
;12.30 - 14.05;Web-технологии и стандарты (лаб) 211 л Воронова Е.С.;;;
;;Прикладные математические методы (лаб) 202 л Жилин А.А.;Web-технологии и стандарты (лаб) 211 л Воронова Е.С.;;
;14.30 - 15.50;;;;
;;Прикладные математические методы (лаб) 202 л Жилин А.А.;Web-технологии и стандарты (лаб) 211 л Воронова Е.С.;;
;16.00 - 17.35;;;;
;;;;;
;17.45 - 19.20;;;;
;;;;;
;;;;;
суббота;08.30 - 10.05;Философия (пр) 308 гл Шапиро С.А.;;;
;;Управление качеством (лек) 308 гл Грачева О.Г.;;;
;10.15 - 11.50;Философия (лек) 308 гл Шапиро С.А.;;;
;;Управление качеством (пр) 115 гл Грачева О.Г.;;;
;12.30 - 14.05;Управление данными (лек) 308 гл Вакуленко А.В.;;;
;;Web-технологии и стандарты (лек) 504 гл Воронова Е.С.;;;
;14.15 - 15.50;;;;
;;;;;
;16.00 - 17.35;;;;
;;;;;
;17.45 - 19.20;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
